#s	B[T]	deg	Jc[A/m2]	n
0	0	0	25226666666.6667	30.47
1	0	10.8	25226666666.6667	30.47
2	0	21.6	25226666666.6667	30.47
3	0	32.4	25226666666.6667	30.47
4	0	43.2	25226666666.6667	30.47
5	0	54	25226666666.6667	30.47
6	0	64.8	25226666666.6667	30.47
7	0	75.6	25226666666.6667	30.47
8	0	86.4	25226666666.6667	30.47
9	0	91.8	25226666666.6667	30.47
10	0	97.2	25226666666.6667	30.47
11	0	102.6	25226666666.6667	30.47
12	0	108	25226666666.6667	30.47
13	0	118.8	25226666666.6667	30.47
14	0	129.6	25226666666.6667	30.47
15	0	140.4	25226666666.6667	30.47
16	0	151.2	25226666666.6667	30.47
17	0	162	25226666666.6667	30.47
18	0	172.8	25226666666.6667	30.47
19	0	183.6	25226666666.6667	30.47
20	0	194.4	25226666666.6667	30.47
21	0	205.2	25226666666.6667	30.47
22	0	216	25226666666.6667	30.47
23	0	226.8	25226666666.6667	30.47
24	0	237.6	25226666666.6667	30.47
25	0	248.4	25226666666.6667	30.47
26	0	259.2	25226666666.6667	30.47
27	0	270	25226666666.6667	30.47
28	0	280.8	25226666666.6667	30.47
29	0	286.2	25226666666.6667	30.47
30	0	291.6	25226666666.6667	30.47
31	0	302.4	25226666666.6667	30.47
32	0	313.2	25226666666.6667	30.47
33	0	324	25226666666.6667	30.47
34	0	334.8	25226666666.6667	30.47
35	0	345.6	25226666666.6667	30.47
36	0	356.4	25226666666.6667	30.47
37	0	360	25226666666.6667	30.47
0	0.0361121	0	22588333333.3333	28.84
1	0.0361121	10.8	22466666666.6667	27.28
2	0.0361121	21.6	22511666666.6667	27.1
3	0.0361121	32.4	22648333333.3333	26.98
4	0.0361121	43.2	23063333333.3333	29.12
5	0.0361121	54	23473333333.3333	29.17
6	0.0361121	64.8	23801666666.6667	29.42
7	0.0361121	75.6	24083333333.3333	29.29
8	0.0361121	86.4	24348333333.3333	30.56
9	0.0361121	91.8	24398333333.3333	29.17
10	0.0361121	97.2	24420000000	31.03
11	0.0361121	102.6	24475000000	30.69
12	0.0361121	108	24265000000	30.01
13	0.0361121	118.8	24020000000	30.93
14	0.0361121	129.6	23603333333.3333	29.5
15	0.0361121	140.4	23090000000	27.07
16	0.0361121	151.2	22840000000	29.25
17	0.0361121	162	22505000000	29.01
18	0.0361121	172.8	22223333333.3333	28.58
19	0.0361121	183.6	21891666666.6667	26.45
20	0.0361121	194.4	21845000000	25.81
21	0.0361121	205.2	21890000000	26.23
22	0.0361121	216	22051666666.6667	27.06
23	0.0361121	226.8	22188333333.3333	26.31
24	0.0361121	237.6	22603333333.3333	28.65
25	0.0361121	248.4	22908333333.3333	28.69
26	0.0361121	259.2	23181666666.6667	28.97
27	0.0361121	270	23435000000	28.88
28	0.0361121	280.8	23600000000	28.54
29	0.0361121	286.2	23583333333.3333	28.03
30	0.0361121	291.6	23673333333.3333	30.13
31	0.0361121	302.4	23555000000	29.64
32	0.0361121	313.2	23420000000	29.97
33	0.0361121	324	23076666666.6667	27.93
34	0.0361121	334.8	22860000000	28
35	0.0361121	345.6	22601666666.6667	26.71
36	0.0361121	356.4	22545000000	26.95
37	0.0361121	360	22486666666.6667	26.75
0	0.0499514	0	21280000000	25.73
1	0.0499514	10.8	21213333333.3333	25.45
2	0.0499514	21.6	21211666666.6667	24.42
3	0.0499514	32.4	21378333333.3333	24.06
4	0.0499514	43.2	21750000000	24.14
5	0.0499514	54	22391666666.6667	25.96
6	0.0499514	64.8	23016666666.6667	27
7	0.0499514	75.6	23600000000	27.69
8	0.0499514	86.4	23990000000	27.95
9	0.0499514	91.8	24118333333.3333	28.76
10	0.0499514	97.2	24266666666.6667	30.13
11	0.0499514	102.6	24205000000	30.05
12	0.0499514	108	24020000000	28.99
13	0.0499514	118.8	23658333333.3333	29.44
14	0.0499514	129.6	23085000000	28.81
15	0.0499514	140.4	22415000000	27.18
16	0.0499514	151.2	21795000000	25.76
17	0.0499514	162	21393333333.3333	26.22
18	0.0499514	172.8	21023333333.3333	25.64
19	0.0499514	183.6	20746666666.6667	25.09
20	0.0499514	194.4	20613333333.3333	25
21	0.0499514	205.2	20635000000	24.91
22	0.0499514	216	20820000000	25.14
23	0.0499514	226.8	21135000000	25.21
24	0.0499514	237.6	21530000000	25.09
25	0.0499514	248.4	22110000000	26.63
26	0.0499514	259.2	22565000000	26.62
27	0.0499514	270	23026666666.6667	28.09
28	0.0499514	280.8	23253333333.3333	28.48
29	0.0499514	286.2	23226666666.6667	27.68
30	0.0499514	291.6	23161666666.6667	27.69
31	0.0499514	302.4	23083333333.3333	28.95
32	0.0499514	313.2	22606666666.6667	27.03
33	0.0499514	324	22290000000	27.68
34	0.0499514	334.8	21873333333.3333	26.6
35	0.0499514	345.6	21555000000	26.02
36	0.0499514	356.4	21250000000	24.76
37	0.0499514	360	21165000000	24.4
0	0.0722242	0	19061666666.6667	23.13
1	0.0722242	10.8	18958333333.3333	23.54
2	0.0722242	21.6	18961666666.6667	22.98
3	0.0722242	32.4	19131666666.6667	22.48
4	0.0722242	43.2	19486666666.6667	22.3
5	0.0722242	54	20151666666.6667	22.65
6	0.0722242	64.8	20920000000	23.11
7	0.0722242	75.6	21968333333.3333	25.08
8	0.0722242	86.4	22743333333.3333	26.92
9	0.0722242	91.8	22975000000	26.77
10	0.0722242	97.2	23103333333.3333	28.04
11	0.0722242	102.6	23111666666.6667	27.41
12	0.0722242	108	22911666666.6667	28.09
13	0.0722242	118.8	22231666666.6667	26.33
14	0.0722242	129.6	21498333333.3333	26.48
15	0.0722242	140.4	20523333333.3333	23.7
16	0.0722242	151.2	19955000000	24.22
17	0.0722242	162	19328333333.3333	23.18
18	0.0722242	172.8	18836666666.6667	22.38
19	0.0722242	183.6	18613333333.3333	22.79
20	0.0722242	194.4	18665000000	22.6
21	0.0722242	205.2	18486666666.6667	22.82
22	0.0722242	216	18531666666.6667	22.97
23	0.0722242	226.8	18750000000	23.13
24	0.0722242	237.6	19101666666.6667	22.79
25	0.0722242	248.4	19743333333.3333	23.93
26	0.0722242	259.2	20315000000	22.81
27	0.0722242	270	21225000000	24.89
28	0.0722242	280.8	21875000000	25.81
29	0.0722242	286.2	21993333333.3333	25.42
30	0.0722242	291.6	22218333333.3333	26.58
31	0.0722242	302.4	22001666666.6667	25.39
32	0.0722242	313.2	21718333333.3333	26.54
33	0.0722242	324	21028333333.3333	24.77
34	0.0722242	334.8	20396666666.6667	23.72
35	0.0722242	345.6	19936666666.6667	23.83
36	0.0722242	356.4	19556666666.6667	24.33
37	0.0722242	360	19423333333.3333	23.79
0	0.100119	0	16391666666.6667	21.46
1	0.100119	10.8	16311666666.6667	23.02
2	0.100119	21.6	16266666666.6667	22.4
3	0.100119	32.4	16343333333.3333	21.13
4	0.100119	43.2	16821666666.6667	22.31
5	0.100119	54	17325000000	20.19
6	0.100119	64.8	18305000000	20.71
7	0.100119	75.6	19710000000	24.63
8	0.100119	86.4	20715000000	26.47
9	0.100119	91.8	20943333333.3333	25.22
10	0.100119	97.2	21030000000	25.97
11	0.100119	102.6	21061666666.6667	26.84
12	0.100119	108	20630000000	25.49
13	0.100119	118.8	19775000000	25.12
14	0.100119	129.6	18748333333.3333	24.1
15	0.100119	140.4	17881666666.6667	22.53
16	0.100119	151.2	17158333333.3333	22.67
17	0.100119	162	16526666666.6667	21.18
18	0.100119	172.8	16181666666.6667	21.57
19	0.100119	183.6	15976666666.6667	21.88
20	0.100119	194.4	15745000000	20.97
21	0.100119	205.2	15736666666.6667	20.72
22	0.100119	216	15941666666.6667	20.25
23	0.100119	226.8	16198333333.3333	19.74
24	0.100119	237.6	16916666666.6667	20.84
25	0.100119	248.4	17755000000	21.23
26	0.100119	259.2	18858333333.3333	22.6
27	0.100119	270	19870000000	24.94
28	0.100119	280.8	20280000000	25.01
29	0.100119	286.2	20123333333.3333	24.17
30	0.100119	291.6	19875000000	22.72
31	0.100119	302.4	19390000000	24.09
32	0.100119	313.2	18593333333.3333	23.32
33	0.100119	324	17871666666.6667	23.27
34	0.100119	334.8	17190000000	22.54
35	0.100119	345.6	16763333333.3333	22.57
36	0.100119	356.4	16393333333.3333	21.68
37	0.100119	360	16360000000	22.08
0	0.14416	0	14100000000	21.35
1	0.14416	10.8	13828333333.3333	20.24
2	0.14416	21.6	13726666666.6667	19.56
3	0.14416	32.4	13850000000	19.53
4	0.14416	43.2	14160000000	18.96
5	0.14416	54	14916666666.6667	20.45
6	0.14416	64.8	15791666666.6667	19.57
7	0.14416	75.6	17213333333.3333	20.58
8	0.14416	86.4	18691666666.6667	22.71
9	0.14416	91.8	18951666666.6667	23.54
10	0.14416	97.2	19055000000	22.55
11	0.14416	102.6	19036666666.6667	25.26
12	0.14416	108	18458333333.3333	23.06
13	0.14416	118.8	17331666666.6667	22.28
14	0.14416	129.6	16241666666.6667	21.73
15	0.14416	140.4	15351666666.6667	20.76
16	0.14416	151.2	14825000000	21.02
17	0.14416	162	14330000000	20.19
18	0.14416	172.8	13980000000	19.7
19	0.14416	183.6	13710000000	19.76
20	0.14416	194.4	13585000000	20.51
21	0.14416	205.2	13328333333.3333	18.37
22	0.14416	216	13538333333.3333	19.16
23	0.14416	226.8	13865000000	19.45
24	0.14416	237.6	14491666666.6667	20.37
25	0.14416	248.4	15296666666.6667	19.38
26	0.14416	259.2	16496666666.6667	20.36
27	0.14416	270	17811666666.6667	22.92
28	0.14416	280.8	18238333333.3333	22.63
29	0.14416	286.2	18128333333.3333	23.19
30	0.14416	291.6	17881666666.6667	23.15
31	0.14416	302.4	17046666666.6667	22.85
32	0.14416	313.2	16096666666.6667	21.47
33	0.14416	324	15355000000	20.79
34	0.14416	334.8	14863333333.3333	21.18
35	0.14416	345.6	14350000000	20.68
36	0.14416	356.4	14090000000	21
37	0.14416	360	13985000000	20.78
0	0.1802	0	12698333333.3333	20.62
1	0.1802	10.8	12420000000	19.44
2	0.1802	21.6	12391666666.6667	19.65
3	0.1802	32.4	12391666666.6667	18.56
4	0.1802	43.2	12718333333.3333	18.79
5	0.1802	54	13346666666.6667	18.94
6	0.1802	64.8	14201666666.6667	17.89
7	0.1802	75.6	15733333333.3333	19.79
8	0.1802	86.4	17010000000	21.67
9	0.1802	91.8	17575000000	22.16
10	0.1802	97.2	17790000000	22.93
11	0.1802	102.6	17533333333.3333	22.67
12	0.1802	108	16801666666.6667	20.45
13	0.1802	118.8	15740000000	20.97
14	0.1802	129.6	14730000000	21.78
15	0.1802	140.4	13811666666.6667	19.72
16	0.1802	151.2	13360000000	20.34
17	0.1802	162	12921666666.6667	19.38
18	0.1802	172.8	12723333333.3333	20.37
19	0.1802	183.6	12410000000	19.55
20	0.1802	194.4	12200000000	19.3
21	0.1802	205.2	11976666666.6667	17.76
22	0.1802	216	12068333333.3333	17.84
23	0.1802	226.8	12293333333.3333	17.47
24	0.1802	237.6	12861666666.6667	18.14
25	0.1802	248.4	13766666666.6667	19.42
26	0.1802	259.2	15028333333.3333	20.57
27	0.1802	270	16545000000	23.33
28	0.1802	280.8	16915000000	22.96
29	0.1802	286.2	16725000000	21.95
30	0.1802	291.6	16300000000	21.83
31	0.1802	302.4	15320000000	19.37
32	0.1802	313.2	14485000000	19.75
33	0.1802	324	13855000000	19.96
34	0.1802	334.8	13360000000	19.58
35	0.1802	345.6	13001666666.6667	20
36	0.1802	356.4	12798333333.3333	20.57
37	0.1802	360	12718333333.3333	20.59










