#1  2  3		  4		    5		   6 	  7	   8	  9	  10  11  12  13  14	15    16     17 	 
#n  t  Px[W]  t-dt/2  Ph[W]  Bax  Bay  Baz  mx  my  mz  Mx  My  Mz  M*ea  Ps[W]  Pl[W] 
0	0	0	0.000173611	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.000347222222	0	0.000173611111	9.87423766e-14	0	0	0.00469303395	0.000208540622	-2.41513269e-07	0.000114589526	300.87232	-0.348443659	165.324224	165.324224	9.87423766e-14	0	
2	0.000694444444	0	0.000520833333	5.03978093e-08	0	0	0.00927050983	0.000413607297	-9.43449974e-08	0.00022676066	596.732596	-0.136116397	327.159309	327.159309	5.03978093e-08	0	
3	0.00104166667	0	0.000868055556	8.07322686e-05	0	0	0.013619715	0.00060941048	-5.56944255e-07	0.000333026575	879.227955	-0.803532224	480.47463	480.47463	8.07322686e-05	0	
4	0.00138888889	0	0.00121527778	0.00435411023	0	0	0.0176335576	0.000786853694	-9.90271033e-08	0.000433684399	1135.23444	-0.142871513	625.698868	625.698868	0.00435411023	0	
5	0.00173611111	0	0.0015625	0.0195516602	0	0	0.0212132034	0.00093721439	-1.31708528e-07	0.000525005859	1352.16758	-0.190022692	757.453051	757.453051	0.0195516602	0	
6	0.00208333333	0	0.00190972222	0.0345709922	0	0	0.0242705098	0.00105773063	-3.58891003e-07	0.000598310549	1526.04257	-0.517790574	863.213511	863.213511	0.0345709922	0	
7	0.00243055556	0	0.00225694444	0.0479330987	0	0	0.0267301957	0.00114705296	-8.87721632e-07	0.000656607676	1654.91251	-1.28076182	947.321786	947.321786	0.0479330987	0	
8	0.00277777778	0	0.00260416667	0.0624190456	0	0	0.0285316955	0.00120265271	-1.13206392e-06	0.00070718922	1735.12914	-1.63328706	1020.29839	1020.29839	0.0624190456	0	
9	0.003125	0	0.00295138889	0.0656143179	0	0	0.0296306502	0.00122674581	-7.81051577e-07	0.000744712063	1769.8895	-1.12686342	1074.43453	1074.43453	0.0656143179	0	
10	0.00347222222	0.0524379707	0.00329861111	0.0524379707	0	0	0.03	0.00122398482	-1.25929619e-06	0.000761667405	1765.90607	-1.81685161	1098.89688	1098.89688	0.0524379707	0	
